0,"['Why', 'are', 'you', 'pleople', 'avoiding', 'me?', 'Does', 'my', 'withered', 'face', 'remind', 'you', 'of', 'the', 'grim', 'specter', 'of', 'death?']",Abe Simpson
0,"['Back', 'in', 'Edinburg', 'we', 'had', 'a', 'coal', 'miners', 'strike', 'All', 'we', 'wanted', 'were', 'hats', 'with', 'a', 'wee', 'light', 'on', 'top', 'Then', 'one', 'day', 'the', 'mine', 'collapsed', 'No', 'one', 'made', 'it', 'out', 'alive', 'not', 'even', 'Willie']",Groundskeeper Willie
0,"['By', 'chilling', 'my', 'loins', 'I', 'increase', 'the', 'chances', 'of', 'impregnating', 'my', 'wife']",Apu Nahasapeemapetilon
0,"[""I'm"", 'sleeping', 'in', 'the', 'bath', 'tub']",Marge Simpson
0,"[""That's"", 'where', 'I', 'saw', 'the', 'leprechaunHe', 'told', 'me', 'to', 'burn', 'things']",Ralph Wiggum
0,"[""Can't"", 'we', 'have', 'one', 'meeting', 'that', ""doesn't"", 'end', 'with', 'us', 'digging', 'up', 'a', 'corpse?']",Mayor Quimby
0,"['I', 'live', 'in', 'a', 'single', 'room', 'above', 'a', 'bowling', 'alleyand', 'below', 'another', 'bowling', 'alley']",Frank Grimes
0,"[""Can't"", 'we', 'have', 'one', 'meeting', 'that', ""doesn't"", 'end', 'with', 'us', 'digging', 'up', 'a', 'corpse?']",Mayor Quimby
0,"['Ahh', 'Sweet', 'liquor', 'eases', 'the', 'pain']",Troy McClure
0,"['I', 'live', 'in', 'a', 'single', 'room', 'above', 'a', 'bowling', 'alleyand', 'below', 'another', 'bowling', 'alley']",Frank Grimes
0,"['I', 'live', 'in', 'a', 'single', 'room', 'above', 'a', 'bowling', 'alleyand', 'below', 'another', 'bowling', 'alley']",Frank Grimes
0,"['Me', 'fail', 'English?', ""That's"", 'unpossible']",Ralph Wiggum
